INFO:root:2019-02-20 20:44:20.401458: Autobot started
INFO:root:2019-02-20 20:44:29.692906: Magic Button Pressed
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): publicsuffix.org
DEBUG:urllib3.connectionpool:https://publicsuffix.org:443 "GET /list/public_suffix_list.dat HTTP/1.1" 200 210384
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.madridcitytours.com
DEBUG:urllib3.connectionpool:https://www.madridcitytours.com:443 "GET / HTTP/1.1" 200 23499
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.madridcitytours.com
DEBUG:urllib3.connectionpool:https://www.madridcitytours.com:443 "GET /cart/view HTTP/1.1" 200 3339
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.tripsavvy.com
DEBUG:urllib3.connectionpool:https://www.tripsavvy.com:443 "GET /best-spain-tours-starting-from-madrid-1643751 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.tripsavvy.com
DEBUG:urllib3.connectionpool:https://www.tripsavvy.com:443 "GET /best-spain-tours-starting-from-madrid-1643751/ HTTP/1.1" 301 0
DEBUG:urllib3.connectionpool:https://www.tripsavvy.com:443 "GET /best-spain-tours-starting-from-madrid-1643751 HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.veltra.com
DEBUG:urllib3.connectionpool:https://www.veltra.com:443 "GET /en/europe/spain/madrid/ HTTP/1.1" 200 32024
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.veltra.com
DEBUG:urllib3.connectionpool:https://www.veltra.com:443 "GET /en/europe/spain/madrid/en/login HTTP/1.1" 200 37729
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.esmadrid.com
DEBUG:urllib3.connectionpool:https://www.esmadrid.com:443 "GET /en/guided-tours-of-madrid HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.esmadrid.com
DEBUG:urllib3.connectionpool:https://www.esmadrid.com:443 "GET /en/guided-tours-of-madrid/en HTTP/1.1" 404 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.localmadridtours.com
DEBUG:urllib3.connectionpool:https://www.localmadridtours.com:443 "GET / HTTP/1.1" 200 22583
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.frommers.com
DEBUG:urllib3.connectionpool:https://www.frommers.com:443 "GET /destinations/madrid/organized-tours HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.frommers.com
DEBUG:urllib3.connectionpool:https://www.frommers.com:443 "GET /destinations/madrid/organized-tours/ HTTP/1.1" 301 178
DEBUG:urllib3.connectionpool:https://www.frommers.com:443 "GET /destinations/madrid/organized-tours HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.contexttravel.com
DEBUG:urllib3.connectionpool:https://www.contexttravel.com:443 "GET /cities/madrid HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.contexttravel.com
DEBUG:urllib3.connectionpool:https://www.contexttravel.com:443 "GET /cities/madrid/ HTTP/1.1" 301 None
DEBUG:urllib3.connectionpool:https://www.contexttravel.com:443 "GET /cities/madrid HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): madrid.city-tour.com
DEBUG:urllib3.connectionpool:http://madrid.city-tour.com:80 "GET /en HTTP/1.1" 301 324
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madrid.city-tour.com
DEBUG:urllib3.connectionpool:https://madrid.city-tour.com:443 "GET /en HTTP/1.1" 200 11814
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): madrid.city-tour.com
DEBUG:urllib3.connectionpool:http://madrid.city-tour.com:80 "GET /en/en/blog HTTP/1.1" 301 332
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madrid.city-tour.com
DEBUG:urllib3.connectionpool:https://madrid.city-tour.com:443 "GET /en/en/blog HTTP/1.1" 404 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): madridfoodtour.com
