INFO:root:2019-02-22 15:00:14.044254: Autobot started
INFO:root:2019-02-22 15:00:21.802064: Magic Button Pressed
INFO:root:2019-02-22 15:00:21.802064Starting search for query: Madrid Food Tour
DEBUG:chardet.charsetprober:utf-8  confidence = 0.99
DEBUG:chardet.charsetprober:SHIFT_JIS Japanese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-JP Japanese confidence = 0.01
DEBUG:chardet.charsetprober:GB2312 Chinese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-KR Korean confidence = 0.01
DEBUG:chardet.charsetprober:CP949 Korean confidence = 0.01
DEBUG:chardet.charsetprober:Big5 Chinese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-TW Taiwan confidence = 0.01
DEBUG:chardet.charsetprober:windows-1251 Russian confidence = 0.01
DEBUG:chardet.charsetprober:KOI8-R Russian confidence = 0.01
DEBUG:chardet.charsetprober:ISO-8859-5 Russian confidence = 0.0
DEBUG:chardet.charsetprober:MacCyrillic Russian confidence = 0.0
DEBUG:chardet.charsetprober:IBM866 Russian confidence = 0.0
DEBUG:chardet.charsetprober:IBM855 Russian confidence = 0.01
DEBUG:chardet.charsetprober:ISO-8859-7 Greek confidence = 0.0
DEBUG:chardet.charsetprober:windows-1253 Greek confidence = 0.0
DEBUG:chardet.charsetprober:ISO-8859-5 Bulgairan confidence = 0.0
DEBUG:chardet.charsetprober:windows-1251 Bulgarian confidence = 0.01
DEBUG:chardet.charsetprober:TIS-620 Thai confidence = 0.09122227910775974
DEBUG:chardet.charsetprober:ISO-8859-9 Turkish confidence = 0.4533214604595471
DEBUG:chardet.charsetprober:windows-1255 Hebrew confidence = 0.0
DEBUG:chardet.charsetprober:windows-1255 Hebrew confidence = 0.0
DEBUG:chardet.charsetprober:windows-1255 Hebrew confidence = 0.0
DEBUG:chardet.charsetprober:utf-8  confidence = 0.99
DEBUG:chardet.charsetprober:SHIFT_JIS Japanese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-JP Japanese confidence = 0.01
DEBUG:chardet.charsetprober:GB2312 Chinese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-KR Korean confidence = 0.01
DEBUG:chardet.charsetprober:CP949 Korean confidence = 0.01
DEBUG:chardet.charsetprober:Big5 Chinese confidence = 0.01
DEBUG:chardet.charsetprober:EUC-TW Taiwan confidence = 0.01
INFO:root:2019-02-22 15:00:25.315923Scraping URL: https://www.youtube.com/watch?v=xFo6NI12fjc for emails
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.youtube.com
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.youtube.com
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc/ HTTP/1.1" 303 0
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.youtube.com
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc//www.youtube.com/upload HTTP/1.1" 303 0
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.youtube.com
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc/premium?ybp=Eg9GRXdoYXRfdG9fd2F0Y2g%253D HTTP/1.1" 303 0
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.youtube.com
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc/results?sp=EiG4AQHCARtDaElKZ1R3S2dKY3BRZzBSYVNLTVljSGVOc1E%253D&search_query=Madrid HTTP/1.1" 303 0
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.youtube.com
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc/user/jamesblick78 HTTP/1.1" 303 0
DEBUG:urllib3.connectionpool:https://www.youtube.com:443 "GET /watch?v=xFo6NI12fjc HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.youtube.com
