INFO:root:2019-02-20 15:39:22.166707: Autobot started
INFO:root:2019-02-20 15:39:29.832003: Magic Button Pressed
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.golisbon.com
DEBUG:urllib3.connectionpool:https://www.golisbon.com:443 "GET /tours/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.lisboncitytours.com
DEBUG:urllib3.connectionpool:https://www.lisboncitytours.com:443 "GET / HTTP/1.1" 200 19026
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.lisboncitytours.com
DEBUG:urllib3.connectionpool:https://www.lisboncitytours.com:443 "GET /cart/view/ HTTP/1.1" 200 7959
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.timeout.com
DEBUG:urllib3.connectionpool:https://www.timeout.com:443 "GET /lisbon/things-to-do/lisbon-tours HTTP/1.1" 200 33747
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.timeout.com
DEBUG:urllib3.connectionpool:https://www.timeout.com:443 "GET /lisbon/things-to-do/lisbon-tours/london HTTP/1.1" 404 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): wehatetourismtours.com
DEBUG:urllib3.connectionpool:http://wehatetourismtours.com:80 "GET / HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.insidelisbon.com
DEBUG:urllib3.connectionpool:https://www.insidelisbon.com:443 "GET / HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.insidelisbon.com
DEBUG:urllib3.connectionpool:https://www.insidelisbon.com:443 "GET /book-tours-lisbon/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.tasteoflisboa.com
DEBUG:urllib3.connectionpool:https://www.tasteoflisboa.com:443 "GET / HTTP/1.1" 200 20728
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.tasteoflisboa.com
DEBUG:urllib3.connectionpool:https://www.tasteoflisboa.com:443 "GET /eng/home HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.secretfoodtours.com
DEBUG:urllib3.connectionpool:https://www.secretfoodtours.com:443 "GET /lisbon/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.secretfoodtours.com
DEBUG:urllib3.connectionpool:https://www.secretfoodtours.com:443 "GET /lisbon/recommendations/ HTTP/1.1" 404 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): susanshain.com
DEBUG:urllib3.connectionpool:https://susanshain.com:443 "GET /lisbon-food-tour-review/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): culinarybackstreets.com
DEBUG:urllib3.connectionpool:https://culinarybackstreets.com:443 "GET /culinary-walks/lisbon/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.travelmag.com
DEBUG:urllib3.connectionpool:https://www.travelmag.com:443 "GET /articles/best-food-tours-lisbon/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): trip101.com
DEBUG:urllib3.connectionpool:https://trip101.com:443 "GET /article/best-food-tours-lisbon-portugal HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): trip101.com
DEBUG:urllib3.connectionpool:https://trip101.com:443 "GET /article/best-food-tours-lisbon-portugal/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): blog.winetourismportugal.com
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): juliedawnfox.com
DEBUG:urllib3.connectionpool:https://juliedawnfox.com:443 "GET /wineries-near-lisbon/ HTTP/1.1" 200 26341
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): juliedawnfox.com
DEBUG:urllib3.connectionpool:https://juliedawnfox.com:443 "GET /wineries-near-lisbon/ HTTP/1.1" 200 26341
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): www.lisbonwinery.com
DEBUG:urllib3.connectionpool:http://www.lisbonwinery.com:80 "GET / HTTP/1.1" 200 15437
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): www.lisbonwinery.com
DEBUG:urllib3.connectionpool:http://www.lisbonwinery.com:80 "GET / HTTP/1.1" 200 15437
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): catavino.net
DEBUG:urllib3.connectionpool:https://catavino.net:443 "GET /tours/portugal/lisbon/ HTTP/1.1" 200 25979
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.yelp.com
DEBUG:urllib3.connectionpool:https://www.yelp.com:443 "GET /search?cflt=winetours&find_loc=Lisbon HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.yelp.com
DEBUG:urllib3.connectionpool:https://www.yelp.com:443 "GET /search?cflt=winetours&find_loc=Lisbon/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): www.venhavinho.com
DEBUG:urllib3.connectionpool:http://www.venhavinho.com:80 "GET /lisbon-wine-tour.html HTTP/1.1" 403 3191
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.cellartours.com
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.venturists.net
DEBUG:urllib3.connectionpool:https://www.venturists.net:443 "GET /wine-tasting-in-lisbon-portugal/ HTTP/1.1" 200 15326
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.withlocals.com
DEBUG:urllib3.connectionpool:https://www.withlocals.com:443 "GET /experience/divine-wine-tasting-in-setubal-private-day-trip-d60dff32/ HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.livingtours.com
DEBUG:urllib3.connectionpool:https://www.livingtours.com:443 "GET /arrabida-wine-tour-full-day-lisbon.html HTTP/1.1" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): www.livingtours.com
DEBUG:urllib3.connectionpool:https://www.livingtours.com:443 "GET /arrabida-wine-tour-full-day-lisbon.html?___store=default&___from_store=en HTTP/1.1" 301 None
DEBUG:urllib3.connectionpool:https://www.livingtours.com:443 "GET /passeio-de-vinhos-em-lisboa.html HTTP/1.1" 200 None
INFO:root:2019-02-20 15:41:56.992468: Autobot ended
